Jahr,Monat,Mitarbeiter_ID,Name,Geschlecht,Einstellungsdatum,Austrittsdatum,Position,Education Level,Alter,Geburtsdatum,Gehaltsgruppe,Grundausbildung,Interne Weiterbildungen,Planstelle,Zeit bis zur Rente,Verheiratet,Kinder,Urlaubstage_genommen,Überstunden,Fehlzeiten_Krankheitstage,Abwesenheitsgrund,Jährliche Leistungsbewertung,Standort,Wechselbereitschaft,Fortbildungskosten,Anzahl Untergebene,Job Role Progression,Gehalt,Workplace Flexibility,Team Size,Coaching,Job Level,Arbeitszeitmodell,Zufriedenheit,Tenure,Fluktuation,Fluktuationswahrscheinlichkeit
2024,12,25176,Ronald Carr,Männlich,2002-02-04,Kein Austritt,Fachkraft,Berufsausbildung,49,1975-01-16,E6,Ja,0,Nein,18,Nein,Ja,1,17,15,Krankheit,1,Büro,0.85,0,0,9,59361.41186937562,5,5,Nein,1,Homeoffice,10.0,22,0,0.0001199383353115543
2024,12,87969,Alexis Harris,Männlich,1995-01-09,Kein Austritt,Unterabteilungsleiter,Doktorrand,60,1964-02-12,E10,Ja,3,Nein,7,Nein,Ja,0,43,24,Erkrankung mit Reha,5,Landeszentrale,0.52,0,3,8,103385.96835449497,3,6,Nein,4,Vollzeit,8.996589537683668,29,0,0.00011120215338233877
2024,12,93149,Andres Hodges,Männlich,2014-06-18,Kein Austritt,Bürokraft,Bachelorabschluss,34,1990-09-06,E5,Ja,4,Ja,33,Nein,Ja,1,16,15,Krankheit,1,Büro,0.91,4920,0,10,62870.60757989798,2,5,Nein,2,Vollzeit,10.0,10,0,0.00010941765392048764
2024,12,61645,Gerald Hensley,Männlich,1987-05-15,Kein Austritt,Fachkraft,Masterabschluss,57,1967-04-15,E6,Ja,5,Ja,10,Ja,Ja,2,17,29,Erkrankung mit Reha,1,Bund,0.8,0,0,Keine Veränderung,48691.57122405818,8,23,Ja,Einstiegslevel,Vollzeit,7.797472578492954,37,0,0.0001073964613932869
2024,12,93201,James Lopez,Weiblich,2002-04-24,Kein Austritt,Leitung Landeszentrale,Bachelorabschluss,56,1968-08-13,E10,Ja,4,Nein,11,Nein,Ja,1,34,26,Erkrankung mit Reha,2,Büro,0.48,0,1,9,104299.12200064398,4,21,Ja,1,Vollzeit,10.0,22,0,0.0001017269948552742
2024,12,63137,Karen Hopkins,Männlich,1997-01-04,Kein Austritt,Unterabteilungsleiter,Bachelorabschluss,53,1971-02-15,E10,Ja,5,Ja,14,Ja,Ja,0,48,26,Erkrankung mit Reha,5,Landeszentrale,0.44,0,3,3,64784.67544252555,7,22,Nein,1,Homeoffice,10.0,27,0,9.963139589421461e-05
2024,12,15383,Jordan Bates,Weiblich,1990-07-08,Kein Austritt,Fachkraft,Masterabschluss,60,1964-11-20,E6,Ja,2,Nein,7,Ja,Ja,2,20,15,Krankheit,5,Landeszentrale,0.84,0,0,Seitlicher Wechsel,56757.61422361706,3,22,Nein,Seniorlevel,Teilzeit,10.0,34,0,9.770271637325524e-05
2024,12,77561,Susan Gregory,Weiblich,1995-07-23,Kein Austritt,Unterabteilungsleiter,Doktorrand,55,1969-01-26,E10,Ja,0,Nein,12,Nein,Ja,2,39,26,Erkrankung mit Reha,5,Landeszentrale,0.19,0,3,6,87276.66007968878,8,14,Ja,4,Homeoffice,5.460202593516155,29,0,9.485891458993264e-05
2024,12,77937,Sarah Sanchez,Weiblich,2000-06-20,Kein Austritt,Abteilungsleiter,Doktorrand,50,1974-02-15,E12,Ja,4,Ja,17,Nein,Ja,0,35,21,Erkrankung mit Reha,4,Landeszentrale,0.34,2010,2,9,82365.41148458292,1,19,Nein,1,Homeoffice,10.0,24,0,9.015596799815234e-05
2024,12,37552,Gregory Brown,Männlich,1992-05-05,Kein Austritt,Fachkraft,Masterabschluss,57,1967-05-06,E6,Ja,4,Nein,10,Nein,Ja,1,28,5,Krankheit,1,Landeszentrale,0.32,3143,0,1,53990.58954616841,4,24,Ja,1,Vollzeit,10.0,32,0,8.79951876164675e-05
2024,12,88697,Erin Warner,Männlich,1998-07-17,Kein Austritt,Leitung Büro,Bachelorabschluss,53,1971-02-28,E8,Ja,1,Nein,14,Nein,Ja,1,22,15,Elternzeit,4,Büro,0.72,1984,0,Seitlicher Wechsel,92593.42838900104,4,25,Nein,Mittellevel,Teilzeit,10.0,26,0,8.782710526071949e-05
2024,12,41091,Fred Smith,Männlich,1984-11-17,Kein Austritt,Fachkraft,Masterabschluss,58,1966-08-20,E6,Ja,4,Ja,9,Nein,Ja,0,15,5,Krankheit,3,Landeszentrale,0.85,0,0,Keine Veränderung,51534.1250895992,7,25,Nein,Seniorlevel,Homeoffice,10.0,40,0,8.55625015899203e-05
2024,12,36130,Julian Conner,Männlich,1992-11-20,Kein Austritt,Fachkraft,Masterabschluss,58,1966-05-20,E6,Ja,2,Nein,9,Ja,Ja,0,11,5,Krankheit,1,Bund,0.52,912,0,Seitlicher Wechsel,45635.87815434364,6,12,Nein,Seniorlevel,Homeoffice,10.0,32,0,8.491704780266017e-05
2024,12,42267,Ryan Thornton MD,Weiblich,2006-02-06,Kein Austritt,Fachkraft,Doktorrand,45,1979-01-10,E6,Ja,5,Ja,22,Nein,Ja,2,22,15,Krankheit,3,Landeszentrale,0.09,614,0,6,52277.74453409796,3,20,Nein,1,Teilzeit,10.0,18,0,8.410769450192624e-05
2024,12,38569,Donna Frye,Weiblich,1995-04-27,Kein Austritt,Fachkraft,Berufsausbildung,57,1967-01-09,E6,Ja,5,Nein,10,Nein,Ja,1,20,15,Elternzeit,1,Landeszentrale,0.53,0,0,Keine Veränderung,57971.19616880572,2,11,Ja,Executivelevel,Vollzeit,10.0,29,0,8.274154771867189e-05
2024,12,10741,Lori Madden,Weiblich,1991-05-04,Kein Austritt,Leitung Landeszentrale,Bachelorabschluss,58,1966-05-26,E10,Ja,5,Ja,9,Nein,Ja,2,27,32,Erkrankung mit Reha,2,Büro,0.25,144,1,3,102122.37897763056,9,15,Nein,3,Homeoffice,5.837755283270648,33,0,8.195993155977682e-05
2024,12,81987,Lisa Jackson,Weiblich,1987-02-24,Kein Austritt,Fachkraft,Masterabschluss,62,1962-03-24,E6,Ja,2,Nein,5,Nein,Ja,2,20,2,Krankheit,2,Landeszentrale,0.5,3525,0,Beförderung,57533.73847003453,10,18,Ja,Executivelevel,Teilzeit,10.0,37,0,8.062438558039196e-05
2024,12,20735,Lisa Barnes,Weiblich,1993-10-22,Kein Austritt,Fachkraft,Masterabschluss,55,1968-12-11,E6,Ja,4,Nein,12,Ja,Ja,1,13,16,Krankheit,2,Büro,0.21,4610,0,Seitlicher Wechsel,56353.51297189368,1,12,Ja,Einstiegslevel,Vollzeit,10.0,31,0,7.841157387297322e-05
2024,12,80823,Shane Mueller,Männlich,1995-12-15,Kein Austritt,Fachkraft,Bachelorabschluss,55,1969-07-06,E6,Ja,3,Nein,12,Nein,Ja,2,15,0,keine,2,Landeszentrale,0.08,3916,0,6,55749.13912321561,3,6,Nein,1,Homeoffice,10.0,29,0,7.784759731953822e-05
2024,12,74903,Heather Hernandez,Männlich,2000-11-21,Kein Austritt,Leitung Büro,Bachelorabschluss,60,1964-11-14,E8,Ja,0,Nein,7,Ja,Ja,0,25,18,Krankheit,1,Büro,0.95,4699,0,10,98899.06245856102,0,24,Nein,2,Vollzeit,5.848399176411666,24,0,7.757372499259987e-05
2024,12,43586,Lindsay Martinez,Männlich,1988-04-27,Kein Austritt,Fachkraft,Bachelorabschluss,57,1967-08-15,E6,Ja,3,Nein,10,Nein,Ja,0,25,5,Elternzeit,2,Landeszentrale,0.62,0,0,Verlassen und Wiedereinstieg,68728.5596255908,6,6,Ja,Seniorlevel,Homeoffice,10.0,36,0,7.601859837322086e-05
2024,12,89569,Robin Brown,Weiblich,1994-02-27,Kein Austritt,Bürokraft,Masterabschluss,54,1970-06-23,E5,Ja,5,Nein,13,Ja,Ja,1,18,19,Sabbatical,1,Landeszentrale,0.33,4745,0,Keine Veränderung,51653.34329326116,4,12,Nein,Executivelevel,Homeoffice,5.881472578492954,30,0,7.563776406784274e-05
2024,12,94597,Dr. Sarah Payne,Weiblich,2023-08-02,Kein Austritt,Bürokraft,Berufsausbildung,26,1998-01-09,E5,Ja,3,Ja,41,Ja,Ja,0,26,15,Krankheit,3,Landeszentrale,0.33,0,0,8,58370.321825188825,2,13,Nein,2,Teilzeit,9.311391874233328,1,0,7.387607768929304e-05
2024,12,39075,Marcus Douglas,Weiblich,2002-11-10,Kein Austritt,Unterabteilungsleiter,Bachelorabschluss,46,1977-12-08,E10,Ja,3,Nein,21,Nein,Ja,0,36,5,Krankheit,1,Büro,0.37,0,3,2,95532.96134649536,5,20,Nein,3,Vollzeit,10.0,22,0,7.248266002972787e-05
2024,12,41834,Tyler White,Männlich,2002-07-21,Kein Austritt,Bürokraft,Bachelorabschluss,49,1975-02-06,E5,Ja,4,Ja,18,Nein,Ja,1,14,15,Krankheit,3,Büro,0.32,0,0,9,58717.3786595859,3,12,Nein,3,Teilzeit,10.0,22,0,7.017646049629322e-05
2024,12,20527,Ryan Munoz,Männlich,1982-12-14,Kein Austritt,Bürokraft,Doktorrand,59,1965-05-02,E5,Ja,1,Nein,8,Nein,Ja,1,16,5,Krankheit,1,Büro,0.07,0,0,Beförderung,68191.19025301191,4,9,Ja,Executivelevel,Homeoffice,9.592331535888022,42,0,6.961831074698428e-05
2024,12,66181,Matthew Austin,Weiblich,2004-06-21,Kein Austritt,Unterabteilungsleiter,Bachelorabschluss,46,1978-07-09,E10,Ja,4,Nein,21,Nein,Ja,0,35,5,Krankheit,1,Büro,0.18,0,3,10,91259.83013647492,4,15,Nein,1,Homeoffice,10.0,20,0,6.866531811278448e-05
2024,12,29476,Kimberly Gutierrez,Weiblich,1991-11-21,Kein Austritt,Bürokraft,Masterabschluss,58,1966-06-12,E5,Ja,0,Nein,9,Nein,Ja,1,15,5,Krankheit,5,Büro,0.52,0,0,Keine Veränderung,44505.09661851079,6,17,Nein,Mittellevel,Vollzeit,10.0,33,0,6.838528477245772e-05
2024,12,65057,Meghan Cisneros,Männlich,1983-07-03,Kein Austritt,Fachkraft,Doktorrand,61,1963-05-06,E6,Ja,0,Nein,6,Nein,Ja,1,26,5,Krankheit,2,Büro,0.5,3344,0,Seitlicher Wechsel,47453.37901259165,7,25,Ja,Executivelevel,Vollzeit,8.745210543093911,41,0,6.760873681471394e-05
2024,12,38187,Kyle Smith Jr.,Männlich,2001-07-02,Kein Austritt,Fachkraft,Berufsausbildung,47,1976-12-08,E6,Ja,4,Nein,20,Ja,Ja,0,17,15,Elternzeit,2,Büro,0.09,0,0,0,48864.19749382109,5,22,Ja,4,Homeoffice,10.0,23,0,6.753705662270235e-05
2024,12,51682,Jamie Rose,Männlich,2008-03-22,Kein Austritt,Fachkraft,Bachelorabschluss,41,1983-04-02,E6,Ja,1,Nein,26,Nein,Ja,0,18,17,Krankheit,3,Büro,0.38,0,0,9,43009.108512935985,0,22,Ja,1,Teilzeit,10.0,16,0,6.640163983872019e-05
2024,12,60284,Amy Ramirez,Männlich,2003-03-16,Kein Austritt,Unterabteilungsleiter,Doktorrand,49,1975-04-20,E10,Ja,2,Nein,18,Ja,Ja,2,34,2,Krankheit,4,Landeszentrale,0.12,0,3,9,104922.73671910532,9,18,Ja,4,Teilzeit,10.0,21,0,6.56079634356957e-05
2024,12,83948,Matthew Watts,Männlich,1999-02-05,Kein Austritt,Leitung Landeszentrale,Doktorrand,51,1973-04-15,E10,Ja,0,Nein,16,Ja,Ja,2,30,17,Elternzeit,1,Büro,0.63,3679,1,1,120136.47386216228,3,24,Nein,1,Vollzeit,7.302297248267565,25,0,6.432902450080176e-05
2024,12,41525,Eric Thomas,Weiblich,2003-07-25,Kein Austritt,Abteilungsleiter,Masterabschluss,52,1972-03-24,E12,Ja,4,Nein,15,Ja,Ja,2,45,15,Elternzeit,1,Landeszentrale,0.52,1145,2,4,104683.28072973808,7,11,Nein,1,Teilzeit,9.410952593516155,21,0,6.339688210157887e-05
2024,12,97370,Nicole Brewer,Weiblich,2006-12-07,Kein Austritt,Bürokraft,Berufsausbildung,46,1978-11-25,E5,Ja,2,Ja,21,Ja,Ja,0,23,20,Krankheit,3,Büro,0.24,1193,0,8,44543.75182652472,1,8,Nein,4,Vollzeit,8.6545956032646,18,0,6.201538194705288e-05
2024,12,58351,Brandy Chavez,Weiblich,1990-09-08,Kein Austritt,Bürokraft,Masterabschluss,61,1963-09-20,E5,Ja,2,Ja,6,Nein,Ja,0,17,5,Elternzeit,1,Landeszentrale,0.66,0,0,Beförderung,44116.44162935056,6,9,Ja,Executivelevel,Vollzeit,10.0,34,0,6.201342518515364e-05
2024,12,25867,Tommy Espinoza,Männlich,2014-05-27,Kein Austritt,Unterabteilungsleiter,Bachelorabschluss,35,1989-01-03,E10,Ja,3,Ja,32,Nein,Ja,1,36,19,Elternzeit,1,Büro,0.35,0,3,5,97880.30286569208,2,5,Nein,3,Vollzeit,10.0,10,0,6.17354426468493e-05
2024,12,71779,Luke Walters,Männlich,2008-07-09,Kein Austritt,Unterabteilungsleiter,Berufsausbildung,41,1983-08-17,E10,Ja,5,Nein,26,Nein,Ja,0,37,15,Elternzeit,2,Büro,0.15,1977,3,0,78862.73498585958,4,10,Nein,3,Teilzeit,8.450893110830734,16,0,5.973364098183849e-05
2024,12,64548,Scott Thomas,Weiblich,1991-07-25,Kein Austritt,Fachkraft,Doktorrand,59,1965-08-08,E6,Ja,1,Ja,8,Nein,Ja,1,27,15,keine,2,Landeszentrale,0.52,2012,0,Seitlicher Wechsel,49051.8434062047,5,23,Ja,Einstiegslevel,Homeoffice,10.0,33,0,5.919530179473251e-05
2024,12,90793,Erik Jones,Weiblich,1999-10-06,Kein Austritt,Leitung Büro,Berufsausbildung,55,1969-10-15,E8,Ja,1,Ja,12,Nein,Ja,1,17,15,Krankheit,2,Landeszentrale,0.71,0,0,7,63834.10570243391,0,9,Ja,3,Teilzeit,10.0,25,0,5.9000169386596096e-05
2024,12,19365,Frank Alvarado,Weiblich,1995-02-18,Kein Austritt,Fachkraft,Bachelorabschluss,66,1958-11-27,E6,Ja,4,Nein,1,Ja,Ja,0,27,15,Elternzeit,1,Büro,0.15,2193,0,3,49502.27496388878,1,12,Nein,1,Vollzeit,7.443455598169042,29,0,5.856074310126676e-05
2024,12,53991,Monica Smith,Männlich,1994-01-12,Kein Austritt,Leitung Büro,Bachelorabschluss,59,1965-08-17,E8,Ja,0,Ja,8,Nein,Ja,0,20,16,Krankheit,2,Landeszentrale,0.72,0,0,9,113778.23131490564,3,11,Nein,3,Vollzeit,6.272729337223009,30,0,5.8483575929717276e-05
2024,12,39379,Christopher Cole,Weiblich,2009-11-02,Kein Austritt,Leitung Landeszentrale,Berufsausbildung,55,1969-11-01,E10,Ja,4,Nein,12,Nein,Ja,1,23,2,Krankheit,1,Landeszentrale,0.96,0,1,5,77946.42947151349,3,5,Nein,2,Teilzeit,10.0,15,0,5.7299275057216805e-05
2024,12,98781,Devon Flores,Männlich,1993-12-17,Kein Austritt,Fachkraft,Doktorrand,58,1965-12-04,E6,Ja,5,Nein,9,Nein,Ja,2,29,5,Krankheit,3,Büro,0.23,0,0,Keine Veränderung,50811.14295755027,7,6,Nein,Einstiegslevel,Vollzeit,10.0,31,0,5.701798867751238e-05
2024,12,54236,Richard Smith,Weiblich,1996-11-06,Kein Austritt,Fachkraft,Berufsausbildung,53,1971-07-17,E6,Ja,0,Ja,14,Nein,Ja,0,19,0,keine,1,Büro,0.0,766,0,Seitlicher Wechsel,56166.57029046549,8,11,Nein,Executivelevel,Teilzeit,10.0,28,0,5.688193261505702e-05
2024,12,93895,Wesley Brown,Weiblich,2001-03-02,Kein Austritt,Fachkraft,Berufsausbildung,48,1976-11-01,E6,Ja,2,Nein,19,Ja,Ja,2,16,12,Elternzeit,1,Bund,0.18,0,0,10,63678.77767177174,6,23,Nein,3,Vollzeit,5.2647016203493,23,0,5.618928135453788e-05
2024,12,21756,Phillip Ramirez,Weiblich,1996-03-12,Kein Austritt,Unterabteilungsleiter,Berufsausbildung,56,1968-03-27,E10,Ja,2,Ja,11,Nein,Ja,1,40,21,Erkrankung mit Reha,2,Büro,0.66,0,3,1,92050.74921463114,0,9,Ja,2,Teilzeit,7.131886354678607,28,0,5.544740489203701e-05
2024,12,84177,Jessica Callahan,Weiblich,1989-05-24,Kein Austritt,Fachkraft,Bachelorabschluss,52,1972-02-14,E6,Ja,2,Nein,15,Nein,Ja,1,21,7,Krankheit,3,Büro,0.47,569,0,Beförderung,62350.0069500629,4,21,Nein,Executivelevel,Teilzeit,5.621889022896647,35,0,5.46309748230162e-05
2024,12,79992,Anna Villanueva,Weiblich,2004-07-12,Kein Austritt,Fachkraft,Bachelorabschluss,50,1974-09-27,E6,Ja,3,Nein,17,Ja,Ja,2,26,15,keine,1,Büro,0.04,0,0,8,62767.40666857577,6,17,Nein,4,Homeoffice,10.0,20,0,5.414431885131385e-05
2024,12,29772,Brian Navarro,Weiblich,2009-01-03,Kein Austritt,Leitung Büro,Doktorrand,42,1982-04-23,E8,Ja,4,Nein,25,Nein,Ja,1,24,16,Elternzeit,1,Landeszentrale,0.22,0,0,1,121502.85435112644,2,22,Ja,3,Homeoffice,9.291169422195646,15,0,5.347589429721272e-05
2024,12,61116,Bianca Wood,Weiblich,1992-08-03,Kein Austritt,Fachkraft,Masterabschluss,63,1961-03-10,E6,Ja,3,Nein,4,Nein,Ja,1,15,6,Elternzeit,4,Büro,0.31,2242,0,Beförderung,61404.16387547362,9,22,Nein,Seniorlevel,Vollzeit,8.301489022896648,32,0,5.336229818043315e-05
2024,12,84325,Allison Branch,Männlich,1997-07-28,Kein Austritt,Unterabteilungsleiter,Bachelorabschluss,53,1971-09-14,E10,Ja,0,Nein,14,Nein,Ja,1,41,6,Elternzeit,2,Büro,0.41,1083,3,1,90649.4630696839,0,17,Nein,1,Vollzeit,9.21367144961156,27,0,5.30846075640654e-05
2024,12,63545,Dylan Miller,Weiblich,1999-02-14,Kein Austritt,Bürokraft,Doktorrand,50,1974-02-27,E5,Ja,0,Nein,17,Ja,Ja,1,10,0,keine,1,Bund,0.55,3048,0,Beförderung,58888.989229870465,0,17,Nein,Einstiegslevel,Homeoffice,10.0,25,0,5.293418528504615e-05
2024,12,43276,Austin Benson,Männlich,2005-01-16,Kein Austritt,Leitung Landeszentrale,Berufsausbildung,50,1973-12-24,E10,Ja,0,Nein,17,Nein,Nein,0,30,8,Krankheit,2,Büro,0.28,2802,1,0,115817.58023349596,2,22,Nein,1,Vollzeit,7.642145951558224,19,0,5.280652577650296e-05
2024,12,91935,Crystal Wallace,Männlich,2009-01-01,Kein Austritt,Abteilungsleiter,Berufsausbildung,36,1988-11-04,E12,Ja,1,Nein,31,Ja,Ja,1,29,6,Elternzeit,1,Büro,0.45,0,2,6,104010.47635145632,0,10,Nein,2,Homeoffice,9.27094150479821,15,0,5.279708715541422e-05
2024,12,60458,Emily Gamble,Männlich,2003-06-25,Kein Austritt,Leitung Landeszentrale,Masterabschluss,59,1965-11-18,E10,Ja,3,Nein,8,Nein,Ja,1,28,14,Elternzeit,1,Bund,0.36,0,1,7,86196.57512289476,8,7,Nein,3,Teilzeit,6.095310574258053,21,0,5.256389486429416e-05
2024,12,39581,Rodney Morales,Weiblich,1995-11-21,Kein Austritt,Bürokraft,Masterabschluss,46,1978-01-01,E5,Ja,1,Nein,21,Nein,Ja,1,12,15,Krankheit,4,Büro,0.78,2646,0,Seitlicher Wechsel,52498.71533546457,10,18,Ja,Executivelevel,Teilzeit,10.0,29,0,5.254169624714342e-05
2024,12,16271,Tyler Williams,Weiblich,1997-08-01,Kein Austritt,Abteilungsleiter,Berufsausbildung,55,1969-09-12,E12,Ja,0,Ja,12,Ja,Ja,1,33,2,Elternzeit,2,Landeszentrale,0.05,2930,2,0,89922.75507992301,3,10,Nein,4,Teilzeit,10.0,27,0,5.2176536955098186e-05
2024,12,35679,Samantha Brown,Weiblich,2004-01-13,Kein Austritt,Unterabteilungsleiter,Masterabschluss,49,1975-10-28,E10,Ja,5,Nein,18,Nein,Ja,1,44,17,Krankheit,2,Büro,0.63,708,3,1,91703.80101946424,6,25,Ja,4,Vollzeit,10.0,20,0,5.199548620441553e-05
2024,12,32132,David Peterson,Männlich,1999-07-13,Kein Austritt,Abteilungsleiter,Masterabschluss,53,1971-06-22,E12,Ja,0,Nein,14,Ja,Ja,2,31,5,Krankheit,2,Landeszentrale,0.34,0,2,10,76151.94978173095,6,12,Ja,2,Vollzeit,9.96880276698839,25,0,5.163818140482181e-05
2024,12,87425,Shannon Stokes,Weiblich,2008-12-19,Kein Austritt,Leitung Büro,Masterabschluss,51,1973-07-23,E8,Ja,1,Nein,16,Nein,Ja,1,29,5,Krankheit,3,Büro,0.3,4019,0,7,116997.02432925142,6,12,Nein,4,Vollzeit,10.0,16,0,5.1524323556005105e-05
2024,12,45768,Lance Lynn,Weiblich,2004-04-20,Kein Austritt,Unterabteilungsleiter,Doktorrand,48,1976-04-01,E10,Ja,3,Nein,19,Ja,Ja,2,38,5,Krankheit,1,Büro,0.01,3215,3,10,82465.08737388071,0,23,Ja,3,Homeoffice,10.0,20,0,5.1485415966038116e-05
2024,12,22094,Thomas Rodriguez,Weiblich,2004-03-01,Kein Austritt,Bürokraft,Bachelorabschluss,56,1968-05-24,E5,Ja,0,Nein,11,Ja,Ja,2,14,8,Krankheit,2,Büro,0.04,1847,0,4,50172.738800909654,4,10,Nein,1,Homeoffice,7.2079956032646,20,0,5.1322826184786736e-05
2024,12,19970,Douglas Santos,Männlich,1992-05-20,Kein Austritt,Unterabteilungsleiter,Berufsausbildung,57,1967-05-12,E10,Ja,0,Ja,10,Nein,Ja,1,40,18,Elternzeit,1,Landeszentrale,0.06,617,3,1,103878.6763093816,9,14,Ja,4,Vollzeit,5.950670105211259,32,0,5.105825440187414e-05
2024,12,46655,Michelle Ho,Weiblich,1990-05-23,Kein Austritt,Fachkraft,Doktorrand,60,1964-03-20,E6,Ja,5,Ja,7,Ja,Ja,0,26,12,Krankheit,1,Büro,0.09,4268,0,Beförderung,46282.119464166746,2,13,Nein,Seniorlevel,Homeoffice,6.005872578492953,34,0,5.08580838320965e-05
2024,12,63523,Cristian Santos,Weiblich,1986-07-15,Kein Austritt,Fachkraft,Bachelorabschluss,59,1965-04-18,E6,Ja,0,Nein,8,Nein,Ja,2,18,5,Krankheit,3,Büro,0.28,4011,0,Keine Veränderung,64278.322265218136,3,19,Ja,Executivelevel,Homeoffice,10.0,38,0,5.070378079687926e-05
2024,12,83906,April Turner,Männlich,2009-05-05,Kein Austritt,Unterabteilungsleiter,Masterabschluss,40,1984-04-17,E10,Ja,0,Nein,27,Nein,Ja,1,37,5,Krankheit,1,Büro,0.13,4290,3,4,84586.29697127125,5,18,Ja,4,Vollzeit,10.0,15,0,5.0090523682930147e-05
2024,12,47223,Charles Davila,Männlich,2021-02-05,Kein Austritt,Bürokraft,Bachelorabschluss,25,1998-12-20,E5,Ja,0,Nein,42,Nein,Ja,2,15,0,keine,1,Büro,0.68,0,0,0,60697.82690438174,2,20,Nein,4,Teilzeit,10.0,3,0,4.955670924775104e-05
2024,12,81118,Adam Burgess,Weiblich,1992-09-22,Kein Austritt,Bürokraft,Doktorrand,62,1962-07-22,E5,Ja,5,Nein,5,Ja,Ja,1,18,5,Elternzeit,3,Landeszentrale,0.26,0,0,Verlassen und Wiedereinstieg,61581.70321803768,6,8,Nein,Executivelevel,Vollzeit,10.0,32,0,4.954905868889219e-05
